,Epoch,Neurons,batch size,accuracy,Ham precision,Ham recall,Spam precision,Spam recall
0,5.0,50.0,1.0,0.4990909090909091,404.0,0.0,0.4990909090909091,1.0
1,5.0,50.0,11.0,0.787070707070707,0.8855829050581553,0.6602137527727364,0.7283572464936321,0.9143897996357013
2,5.0,50.0,21.0,0.7443434343434343,0.90278699402787,0.5486993345432547,0.6749927388905025,0.9407002631046347
3,5.0,50.0,31.0,0.7533333333333333,0.9708193041526375,0.5232909860859044,0.6728933167289332,0.98421372191864
4,5.0,50.0,41.0,0.7896969696969697,0.8253788735580185,0.7358338374672313,0.7609052746851616,0.8437563246306415
5,5.0,50.0,51.0,0.7602020202020202,0.8834173835657075,0.6005242992538818,0.6965844692908562,0.920461445051609
6,5.0,70.0,1.0,0.4990909090909091,404.0,0.0,0.4990909090909091,1.0
7,5.0,70.0,11.0,0.7268686868686869,0.9402577118313159,0.48558177051824963,0.652404959803788,0.9690346083788707
8,5.0,70.0,21.0,0.7830303030303031,0.9339302253782031,0.6100020165355918,0.7096532052244408,0.9566889293665249
9,5.0,70.0,31.0,0.7668686868686869,0.9180069378744875,0.5870135107884654,0.6956457125873087,0.9473790730621332
10,5.0,70.0,41.0,0.7686868686868686,0.9084787266605449,0.5985077636620286,0.6998341625207297,0.9394859340214532
11,5.0,70.0,51.0,0.7727272727272727,0.9133353677143728,0.6035491026416616,0.7031556696361165,0.942521756729407
12,5.0,90.0,1.0,0.7270707070707071,0.7810709838107098,0.6323855616051623,0.6902293967714529,0.8221007893139041
13,5.0,90.0,11.0,0.7702020202020202,0.9732016925246827,0.5565638233514821,0.6887032842582106,0.9846184982797005
14,5.0,90.0,21.0,0.759090909090909,0.9374575118966689,0.5561605162331115,0.6836734693877551,0.9627605747824327
15,5.0,90.0,31.0,0.7476767676767677,0.957945664309639,0.5190562613430127,0.6693470123388326,0.977130135600081
16,5.0,90.0,41.0,0.7788888888888889,0.8968481375358166,0.6311756402500505,0.7146645865834633,0.9271402550091075
17,5.0,90.0,51.0,0.7433333333333333,0.9330229226361032,0.5253075216777576,0.668823860438942,0.9621534102408419
18,5.0,110.0,1.0,0.5009090909090909,0.5009090909090909,1.0,404.0,0.0
19,5.0,110.0,11.0,0.7716161616161616,0.8531413612565445,0.6571889493849566,0.7203947368421053,0.8864602307225258
20,5.0,110.0,21.0,0.8114141414141414,0.8741529525653436,0.7283726557773744,0.7664701803051318,0.8947581461242663
21,5.0,110.0,31.0,0.7748484848484849,0.89405311778291,0.6245210727969349,0.7106898694841517,0.9257235377453956
22,5.0,110.0,41.0,0.7649494949494949,0.900975015234613,0.5962895745109901,0.6974916893321245,0.9342238413276664
23,5.0,110.0,51.0,0.786969696969697,0.9080756013745704,0.6394434361766486,0.7209737827715356,0.9350333940497875
24,5.0,130.0,1.0,0.4990909090909091,404.0,0.0,0.4990909090909091,1.0
25,5.0,130.0,11.0,0.7453535353535353,0.6969941822882999,0.8697318007662835,0.8259698275862069,0.6205221615057681
26,5.0,130.0,21.0,0.7719191919191919,0.9066546221017766,0.6071788667069974,0.70390636874905,0.9372596640356203
27,5.0,130.0,31.0,0.7615151515151515,0.8863771564544913,0.6009276063722525,0.697308045273784,0.9226877150374418
28,5.0,130.0,41.0,0.7573737373737374,0.9382927665409667,0.5519257914902198,0.6817986538736932,0.9635701275045537
29,5.0,130.0,51.0,0.7814141414141414,0.8813096862210096,0.6513409961685823,0.7226944667201283,0.9119611414693382
