,Epoch,Neurons,batch size,learning rate,accuracy,Ham precision,Ham recall,Spam precision,Spam recall
0,5.0,50.0,1.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
1,5.0,50.0,1.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
2,5.0,50.0,1.0,0.01,0.7994949494949495,0.8445319740500463,0.73502722323049,0.7646848137535817,0.8641975308641975
3,5.0,50.0,1.0,0.001,0.7432323232323232,0.9421880717160629,0.519257914902198,0.6673643086368076,0.9680226674762193
4,5.0,50.0,11.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
5,5.0,50.0,11.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
6,5.0,50.0,11.0,0.01,0.7522222222222222,0.9440113394755493,0.5372050816696915,0.6757558632382029,0.9680226674762193
7,5.0,50.0,11.0,0.001,0.7665656565656566,0.9265463917525774,0.5799556362169792,0.6934961742201294,0.9538554948391014
8,5.0,50.0,21.0,1.0,0.5704040404040404,0.627528901734104,0.3502722323049002,0.5482333146382501,0.7913377858733049
9,5.0,50.0,21.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
10,5.0,50.0,21.0,0.01,0.7738383838383839,0.9035608308605341,0.6140350877192983,0.7068912710566616,0.9342238413276664
11,5.0,50.0,21.0,0.001,0.7638383838383839,0.9051004636785163,0.5904416212946159,0.6952738184546137,0.937866828577211
12,5.0,50.0,31.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
13,5.0,50.0,31.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
14,5.0,50.0,31.0,0.01,0.7746464646464647,0.9522546419098143,0.579149021980238,0.6968332364904125,0.970856102003643
15,5.0,50.0,31.0,0.001,0.7728282828282829,0.8747234513274337,0.637830207703166,0.7141947803946531,0.9083181542197936
16,5.0,50.0,41.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
17,5.0,50.0,41.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
18,5.0,50.0,41.0,0.01,0.7782828282828282,0.9182808716707022,0.6118168985682597,0.7081564584596726,0.9453551912568307
19,5.0,50.0,41.0,0.001,0.7814141414141414,0.8226737474024475,0.7184916313772938,0.7493266295564733,0.8445658773527626
20,5.0,50.0,51.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
21,5.0,50.0,51.0,0.1,0.6894949494949495,0.6776625824693685,0.724944545271224,0.7031556039173014,0.6539162112932605
22,5.0,50.0,51.0,0.01,0.7778787878787878,0.8972366148531952,0.6285541439806412,0.7133520074696545,0.9277474195506983
23,5.0,50.0,51.0,0.001,0.7818181818181819,0.9055346276441611,0.6301673724541238,0.7156148240037216,0.9340214531471362
24,5.0,70.0,1.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
25,5.0,70.0,1.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
26,5.0,70.0,1.0,0.01,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
27,5.0,70.0,1.0,0.001,0.7405050505050506,0.9499246987951807,0.5087719298245614,0.6637217007178354,0.9730823719894758
28,5.0,70.0,11.0,1.0,0.687070707070707,0.76042541281836,0.5478927203065134,0.6456456456456456,0.8267557174661
29,5.0,70.0,11.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
30,5.0,70.0,11.0,0.01,0.771010101010101,0.9081261370527592,0.6039524097600323,0.7025143895789154,0.9386763812993322
31,5.0,70.0,11.0,0.001,0.7752525252525253,0.9092814371257485,0.6124218592458157,0.7070121951219512,0.9386763812993322
32,5.0,70.0,21.0,1.0,0.5682828282828283,0.9363057324840764,0.1482153660012099,0.5365880416895228,0.9898805909734871
33,5.0,70.0,21.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
34,5.0,70.0,21.0,0.01,0.7490909090909091,0.9421221864951769,0.5317604355716878,0.6730038022813688,0.9672131147540983
35,5.0,70.0,21.0,0.001,0.7783838383838384,0.8869297509095998,0.6390401290582779,0.7170855065591908,0.9182351750657761
36,5.0,70.0,31.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
37,5.0,70.0,31.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
38,5.0,70.0,31.0,0.01,0.7768686868686868,0.9018118059614261,0.6223028836458964,0.7108675517134918,0.9319975713418336
39,5.0,70.0,31.0,0.001,0.7594949494949494,0.8633032694475761,0.617664851784634,0.7015113350125944,0.9018417324428254
40,5.0,70.0,41.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
41,5.0,70.0,41.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
42,5.0,70.0,41.0,0.01,0.7636363636363637,0.8947844437744951,0.5985077636620286,0.697554306547167,0.9293665249949403
43,5.0,70.0,41.0,0.001,0.8021212121212121,0.8672869735553379,0.7142569066344021,0.7563617606602476,0.8903056061526007
44,5.0,70.0,51.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
45,5.0,70.0,51.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
46,5.0,70.0,51.0,0.01,0.8063636363636364,0.8422592259225923,0.7547892720306514,0.7771260997067448,0.8581258854482898
47,5.0,70.0,51.0,0.001,0.7866666666666666,0.9346564885496184,0.6172615446662634,0.7135094339622642,0.9566889293665249
48,5.0,90.0,1.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
