,Epoch,Neurons,batch size,learning rate,accuracy,Ham precision,Ham recall,Spam precision,Spam recall
0,5.0,50.0,50.0,1.0,0.6855555555555556,0.6536284953395473,0.7918935269207501,0.7348406988694759,0.5788301963165351
1,5.0,50.0,50.0,0.1,0.6663636363636364,0.6384615384615384,0.7699132889695504,0.7089285714285715,0.5624367536935843
2,5.0,50.0,50.0,0.01,0.7553535353535353,0.929563156112428,0.5535390199637024,0.6813012811285447,0.9579032584497066
3,20.0,50.0,50.0,1.0,0.6424242424242425,0.599634882741188,0.8610606977213148,0.7520690896005757,0.4229912973082372
4,20.0,50.0,50.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
5,20.0,50.0,50.0,0.01,0.7507070707070707,0.9136499501826636,0.5547489413188142,0.6794890404993468,0.9473790730621332
6,35.0,50.0,50.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
7,35.0,50.0,50.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
8,35.0,50.0,50.0,0.01,0.7634343434343435,0.8656049175747416,0.6247227263561201,0.7055845594051574,0.9026512851649464
9,50.0,50.0,50.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
10,50.0,50.0,50.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
11,50.0,50.0,50.0,0.01,0.7587878787878788,0.8875489900512511,0.593668078241581,0.6939085523317636,0.9245092086622141
12,5.0,50.0,100.0,1.0,0.5058585858585859,0.5034124477946419,0.9965718894938496,0.7951807228915663,0.013357619914996965
13,5.0,50.0,100.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
14,5.0,50.0,100.0,0.01,0.7848484848484848,0.9134755919321835,0.6301673724541238,0.7169316252508103,0.9400930985630439
15,20.0,50.0,100.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
16,20.0,50.0,100.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
17,20.0,50.0,100.0,0.01,0.7661616161616162,0.9294996751137102,0.5769308328291994,0.692465552623864,0.9560817648249342
18,35.0,50.0,100.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
19,35.0,50.0,100.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
20,35.0,50.0,100.0,0.01,0.7664646464646465,0.8667220836796896,0.6307723331316798,0.7089492926402797,0.9026512851649464
21,50.0,50.0,100.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
22,50.0,50.0,100.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
23,50.0,50.0,100.0,0.01,0.7825252525252525,0.8755353319057816,0.6596087920951805,0.7261518494484102,0.9058894960534305
24,5.0,50.0,150.0,1.0,0.5045454545454545,0.5027388922702374,0.999395039322444,0.9285714285714286,0.007893139040680024
25,5.0,50.0,150.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
26,5.0,50.0,150.0,0.01,0.7580808080808081,0.9648295866569978,0.5366001209921355,0.678241388966676,0.9803683464885651
27,20.0,50.0,150.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
28,20.0,50.0,150.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
29,20.0,50.0,150.0,0.01,0.7337373737373737,0.9182571119913576,0.514216575922565,0.661799803453601,0.9540578830196317
30,35.0,50.0,150.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
