,C value,gamma,accuracy,Ham precision,Ham recall,Spam precision,Spam recall
0,0.001,0.02,0.7737373737373737,0.721669655959563,0.8925186529542246,0.8585080966286169,0.6545233758348512
1,0.002,0.02,0.7820202020202021,0.725559671444677,0.9084492841298649,0.8769981034949879,0.655130540376442
2,0.003,0.02,0.7911111111111111,0.7356153219233904,0.9100625126033475,0.8815405046480743,0.6717263711799231
3,0.004,0.02,0.798989898989899,0.747210657785179,0.9048195200645291,0.878818998716303,0.6927747419550698
4,0.005,0.02,0.8045454545454546,0.7584615384615384,0.8947368421052632,0.8711111111111111,0.7140255009107468
5,0.006,0.02,0.8067676767676768,0.7657940663176265,0.8848558177051825,0.8630695443645084,0.7283950617283951
6,0.007,0.02,0.8095959595959596,0.7733902525791533,0.8767896753377697,0.8571762505843852,0.7421574580044525
7,0.008,0.02,0.8109090909090909,0.7805853481185239,0.8659003831417624,0.8488292793816776,0.7557174660999798
8,0.009,0.02,0.811010101010101,0.7859259259259259,0.8558177051824964,0.8411111111111111,0.7660392633070229
9,0.01,0.02,0.8119191919191919,0.789710009354537,0.8511796733212341,0.837980241492865,0.772515685083991
10,0.011,0.02,0.8108080808080808,0.7919031403707908,0.8441217987497479,0.8324664065886432,0.7773730014167173
11,0.012,0.02,0.8118181818181818,0.7971209213051823,0.8374672312966324,0.8281449893390191,0.7860756931795183
12,0.013,0.02,0.8112121212121212,0.7984930448222566,0.833434160112926,0.8251481795088907,0.7889091277069419
13,0.014,0.02,0.8111111111111111,0.801248293348937,0.828392821133293,0.8217054263565892,0.7937664440396681
14,0.015,0.02,0.8119191919191919,0.8042837492631165,0.8253680177455132,0.8199958428601123,0.798421372191864
15,0.016,0.02,0.8111111111111111,0.8068746274587721,0.818915103851583,0.8154920895829053,0.8032786885245902
16,0.017,0.02,0.8107070707070707,0.8093041908963304,0.81387376487195,0.8121310808060248,0.8075288403157256
17,0.018,0.02,0.8091919191919192,0.8091018928715263,0.8102440008066142,0.8092825293879206,0.8081360048573163
18,0.019,0.02,0.807979797979798,0.8108987393249288,0.8041943940310546,0.8050983540746688,0.811778992106861
19,0.02,0.02,0.8091919191919192,0.8130097879282219,0.8039927404718693,0.8054443554843875,0.8144100384537543
20,0.001,0.025,0.7716161616161616,0.7204248366013072,0.8890905424480742,0.8544973544973545,0.6537138231127302
21,0.002,0.025,0.7792929292929293,0.724651765468092,0.9021980237951199,0.8698336017176597,0.655940093098563
22,0.003,0.025,0.7861616161616162,0.7331036745406824,0.9011897559991934,0.8711882229232387,0.6707144302772718
23,0.004,0.025,0.797979797979798,0.7493679420192145,0.896551724137931,0.8706831358709353,0.6990487755515078
24,0.005,0.025,0.8022222222222222,0.7587515088808415,0.8872756604154063,0.8636917824920751,0.7168589354381704
25,0.006,0.025,0.8064646464646464,0.7683894866819545,0.8784029038112523,0.8574805010635783,0.7342643189637725
26,0.007,0.025,0.8092929292929293,0.7769161406672678,0.868723532970357,0.8505166475315729,0.749645820684072
27,0.008,0.025,0.8115151515151515,0.7847541889154852,0.8594474692478322,0.8440366972477065,0.7634082169601295
28,0.009,0.025,0.8122222222222222,0.7886405959031657,0.8540028231498286,0.8401766004415011,0.7702894150981583
29,0.01,0.025,0.8134343434343434,0.7931424265259985,0.8489614841701956,0.836890243902439,0.7777777777777778
30,0.011,0.025,0.8143434343434344,0.7978621874403512,0.842911877394636,0.8328684831581206,0.7856709168184578
31,0.012,0.025,0.8141414141414142,0.8004238104411482,0.837870538415003,0.8292631131875132,0.7903258449706537
32,0.013,0.025,0.8144444444444444,0.8058385579937304,0.8294010889292196,0.8236030025020851,0.7994333130945153
33,0.014,0.025,0.8137373737373738,0.8087215064420218,0.822746521476104,0.8189495365602472,0.804695405788302
34,0.015,0.025,0.813030303030303,0.8117977528089888,0.8158903004638032,0.814279902359642,0.810159886662619
